Age,CustomerSince,HighestSpend,MonthlyAverageSpend,Mortgage,Level,HiddenScore,Security,FixedDepositAccount,InternetBanking,CreditCard,MortgageFlag,RelationshipProductCount,DigitalEngagementFlag,SpendPerCustomerYear,MortgageToHighestSpendRatio,ValueSegmentScore,LoanOnCard
60,34,83,2.0,249,1,2,0,0,0,0,1,0,0,0.05714285714285714,2.9642857142857144,2,0
32,6,25,1.0,0,1,3,0,0,1,0,0,0,1,0.14285714285714285,0.0,1,0
41,17,81,0.2,167,3,4,1,0,0,0,1,1,0,0.011111111111111112,2.0365853658536586,3,0
49,22,23,1.0,0,2,2,0,0,1,1,0,1,1,0.043478260869565216,0.0,2,0
47,23,12,0.5,0,2,4,0,0,0,0,0,0,0,0.020833333333333332,0.0,2,0
39,15,62,2.4,86,1,4,0,0,0,0,1,0,0,0.15,1.3650793650793651,2,0
42,17,60,2.4,98,1,1,0,0,1,0,1,0,1,0.13333333333333333,1.6065573770491803,2,0
33,8,78,0.6,0,2,3,0,0,1,0,0,0,1,0.06666666666666667,0.0,2,0
48,24,54,1.6,186,2,1,0,0,1,0,1,0,1,0.064,3.381818181818182,3,0
48,22,35,1.4,0,3,1,0,0,1,0,0,0,1,0.0608695652173913,0.0,3,0
39,14,89,0.4,0,1,2,0,0,1,0,0,0,1,0.02666666666666667,0.0,1,0
61,35,50,1.4,112,3,3,0,0,1,0,1,0,1,0.03888888888888889,2.196078431372549,3,0
62,37,125,1.0,0,3,1,0,0,1,0,0,0,1,0.02631578947368421,0.0,3,1
62,36,81,4.4,0,1,3,0,0,0,1,0,1,0,0.11891891891891893,0.0,2,0
59,33,110,4.4,264,1,3,0,0,1,0,1,0,1,0.12941176470588237,2.3783783783783785,2,0
52,27,43,0.2,0,2,4,0,0,1,0,0,0,1,0.0071428571428571435,0.0,2,0
55,25,52,1.4,207,3,1,1,0,0,0,1,1,0,0.05384615384615384,3.9056603773584904,3,0
54,28,74,1.1,0,1,2,0,0,1,0,0,0,1,0.03793103448275863,0.0,1,0
48,22,59,1.4,241,3,1,0,0,1,0,1,0,1,0.0608695652173913,4.016666666666667,3,0
60,34,40,2.5,166,3,1,0,0,1,0,1,0,1,0.07142857142857142,4.048780487804878,4,0
39,13,78,2.8,0,3,1,0,0,0,0,0,0,0,0.19999999999999998,0.0,4,0
33,7,81,4.5,187,3,2,0,1,1,1,1,2,1,0.5625,2.2804878048780486,5,0
40,16,50,0.6,0,3,2,0,0,0,0,0,0,0,0.03529411764705882,0.0,3,0
56,30,178,2.9,0,1,1,0,0,1,0,0,0,1,0.0935483870967742,0.0,2,0
46,22,89,1.4,0,2,4,0,0,1,0,0,0,1,0.0608695652173913,0.0,2,0
31,6,53,2.2,114,1,4,0,0,1,0,1,0,1,0.31428571428571433,2.111111111111111,2,0
52,28,52,0.1,121,3,4,0,0,0,0,1,0,0,0.003448275862068966,2.2830188679245285,3,0
44,18,72,0.7,155,3,1,0,0,0,0,1,0,0,0.03684210526315789,2.1232876712328768,3,0
30,5,14,0.5,0,3,4,0,0,1,0,0,0,1,0.08333333333333333,0.0,3,0
48,24,79,1.4,0,2,4,1,0,0,1,0,2,0,0.055999999999999994,0.0,2,0
51,26,15,0.0,114,1,2,0,0,1,0,1,0,1,0.0,7.125,1,0
32,8,115,4.0,0,1,1,0,0,0,0,0,0,0,0.4444444444444444,0.0,2,0
39,15,52,2.33,0,1,3,0,0,1,0,0,0,1,0.145625,0.0,2,0
43,19,81,0.2,0,3,4,0,0,0,1,0,1,0,0.01,0.0,3,0
29,3,92,1.3,287,1,2,0,0,1,0,1,0,1,0.325,3.086021505376344,1,0
42,18,45,0.7,0,1,1,1,0,1,0,0,1,1,0.03684210526315789,0.0,1,0
34,9,41,0.1,161,1,2,0,0,1,1,1,1,1,0.01,3.8333333333333335,1,0
53,26,12,1.0,0,2,2,0,0,0,1,0,1,0,0.037037037037037035,0.0,2,0
37,13,105,0.8,0,2,1,0,0,0,1,0,1,0,0.05714285714285715,0.0,2,0
60,35,135,0.3,0,3,3,0,0,1,0,0,0,1,0.008333333333333333,0.0,3,1
64,37,138,2.8,0,2,2,0,0,1,0,0,0,1,0.07368421052631578,0.0,3,1
66,41,65,2.4,0,1,3,0,0,0,0,0,0,0,0.05714285714285714,0.0,2,0
45,21,85,3.2,0,1,2,1,0,1,0,0,1,1,0.14545454545454548,0.0,2,0
29,4,55,2.0,0,2,4,1,0,1,0,0,1,1,0.4,0.0,3,0
54,30,61,1.8,0,3,1,0,0,1,0,0,0,1,0.05806451612903226,0.0,4,0
60,34,50,2.2,0,3,3,0,0,1,1,0,1,1,0.06285714285714286,0.0,4,0
29,2,30,1.5,112,2,4,0,0,0,1,1,1,0,0.5,3.6129032258064515,3,0
29,3,39,2.1,0,3,4,0,0,1,0,0,0,1,0.525,0.0,4,0
54,29,48,1.8,0,3,4,0,0,1,0,0,0,1,0.060000000000000005,0.0,4,0
38,14,70,2.0,0,3,4,0,0,1,0,0,0,1,0.13333333333333333,0.0,4,0
55,30,69,1.3,0,3,4,1,1,1,1,0,3,1,0.041935483870967745,0.0,4,0
50,26,179,2.9,0,3,1,0,0,0,1,0,1,0,0.10740740740740741,0.0,4,1
29,3,30,0.3,157,2,4,0,0,0,0,1,0,0,0.075,5.064516129032258,2,0
28,4,112,1.6,0,2,2,0,0,1,0,0,0,1,0.32,0.0,3,1
56,30,44,0.7,174,2,4,0,0,1,0,1,0,1,0.02258064516129032,3.8666666666666667,2,0
41,14,9,1.0,0,2,3,0,0,0,0,0,0,0,0.06666666666666667,0.0,2,0
41,17,48,0.3,0,3,3,0,0,1,1,0,1,1,0.016666666666666666,0.0,3,0
